Image,Method,Metric,Value
./assets/standard_test_images/chessboard_GRAY.png,dlr,RE,0.005019607843137255
./assets/standard_test_images/chessboard_GRAY.png,lanczos,RE,0.0
./assets/standard_test_images/chessboard_GRAY.png,linear,RE,0.0
./assets/standard_test_images/chessboard_GRAY.png,nearest,RE,0.0
./assets/standard_test_images/chessboard_GRAY.png,benchmark_custom,SSIM,1.0
./assets/standard_test_images/chessboard_GRAY.png,benchmark,SSIM,1.0
./assets/standard_test_images/chessboard_GRAY.png,bicubic,SSIM,1.0
./assets/standard_test_images/chessboard_GRAY.png,dlr,SSIM,0.9943796118770584
./assets/standard_test_images/chessboard_GRAY.png,lanczos,SSIM,1.0
./assets/standard_test_images/chessboard_GRAY.png,linear,SSIM,1.0
./assets/standard_test_images/chessboard_GRAY.png,nearest,SSIM,1.0
